sample_num,site,site_num,site_type,sample_type
1,BoylanRd,1,Forest,early
2,Cemetery,2,Forest,early
3,ConnHillRd,3,Forest,early
4,SwanHillRd_N,4,Forest,early
5,SwanHillRd_S,5,Forest,early
6,Comstock,6,Residential,early
7,Fairbrother,7,Residential,early
8,Moreau,8,Residential,early
9,Tobias,9,Residential,early
10,Danforth,10,Residential,early
11,Cornell,11,Orchard,early
12,Littletree,12,Orchard,early
13,Reisinger,13,Orchard,early
14,Indian_Creek,14,Orchard,early
15,Black_Diamond,15,Orchard,early
16,BoylanRd,1,Forest,late
17,Cemetery,2,Forest,late
18,ConnHillRd,3,Forest,late
19,SwanHillRd_N,4,Forest,late
20,SwanHillRd_S,5,Forest,late
21,Comstock,6,Residential,late
22,Fairbrother,7,Residential,late
23,Moreau,8,Residential,late
24,Tobias,9,Residential,late
25,Danforth,10,Residential,late
26,Cornell,11,Orchard,late
27,Littletree,12,Orchard,late
28,Reisinger,13,Orchard,late
29,Indian_Creek,14,Orchard,late
30,Black_Diamond,15,Orchard,late
